14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100
0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 30, 40, 50, 60, 70, 80, 90, 100
           t         gam           m         rho
   3.4194E+03  1.1522E+00  2.8220E+01  7.5282E+00
   3.2155E+03  1.1496E+00  2.8536E+01  4.6507E+00
   2.9547E+03  1.1287E+00  2.7468E+01  1.1332E-01
   2.8155E+03  1.1259E+00  2.7837E+01  6.9823E-02
   3.1436E+03  1.1397E+00  2.7903E+01  7.3606E-01
   2.9769E+03  1.1372E+00  2.8249E+01  4.5408E-01
   3.2114E+03  1.1438E+00  2.8062E+01  1.4492E+00
   3.0337E+03  1.1415E+00  2.8396E+01  8.9441E-01
   3.2506E+03  1.1462E+00  2.8154E+01  2.1546E+00
   3.0662E+03  1.1441E+00  2.8481E+01  1.3301E+00
   3.2783E+03  1.1480E+00  2.8219E+01  2.8552E+00
   3.0890E+03  1.1460E+00  2.8541E+01  1.7629E+00
   3.2995E+03  1.1493E+00  2.8269E+01  3.5523E+00
   3.1065E+03  1.1474E+00  2.8586E+01  2.1936E+00
   3.3168E+03  1.1504E+00  2.8310E+01  4.2468E+00
   3.1206E+03  1.1487E+00  2.8623E+01  2.6227E+00
   3.3313E+03  1.1514E+00  2.8345E+01  4.9390E+00
   3.1324E+03  1.1497E+00  2.8654E+01  3.0505E+00
   3.3438E+03  1.1522E+00  2.8374E+01  5.6293E+00
   3.1425E+03  1.1506E+00  2.8681E+01  3.4771E+00
   3.3548E+03  1.1529E+00  2.8401E+01  6.3181E+00
   3.1513E+03  1.1514E+00  2.8704E+01  3.9029E+00
   3.3645E+03  1.1535E+00  2.8424E+01  7.0055E+00
   3.1592E+03  1.1521E+00  2.8725E+01  4.3277E+00
   3.3733E+03  1.1541E+00  2.8445E+01  7.6916E+00
   3.1663E+03  1.1528E+00  2.8744E+01  4.7519E+00
   2.9312E+03  1.1298E+00  2.7692E+01  1.1516E-01
   2.7902E+03  1.1276E+00  2.8053E+01  7.0962E-02
   3.1119E+03  1.1412E+00  2.8112E+01  7.4912E-01
   2.9426E+03  1.1396E+00  2.8446E+01  4.6215E-01
   3.1761E+03  1.1455E+00  2.8263E+01  1.4759E+00
   2.9955E+03  1.1443E+00  2.8585E+01  9.1089E-01
   3.2130E+03  1.1481E+00  2.8351E+01  2.1951E+00
   3.0256E+03  1.1471E+00  2.8664E+01  1.3551E+00
   3.2390E+03  1.1499E+00  2.8413E+01  2.9097E+00
   3.0465E+03  1.1491E+00  2.8719E+01  1.7966E+00
   3.2589E+03  1.1514E+00  2.8460E+01  3.6209E+00
   3.0624E+03  1.1507E+00  2.8761E+01  2.2361E+00
   3.2750E+03  1.1525E+00  2.8498E+01  4.3296E+00
   3.0752E+03  1.1521E+00  2.8795E+01  2.6740E+00
   3.2885E+03  1.1535E+00  2.8531E+01  5.0362E+00
   3.0859E+03  1.1532E+00  2.8824E+01  3.1107E+00
   3.3001E+03  1.1544E+00  2.8559E+01  5.7410E+00
   3.0951E+03  1.1542E+00  2.8848E+01  3.5463E+00
   3.3102E+03  1.1552E+00  2.8583E+01  6.4443E+00
   3.1030E+03  1.1551E+00  2.8869E+01  3.9810E+00
   3.3193E+03  1.1559E+00  2.8605E+01  7.1462E+00
   3.1101E+03  1.1558E+00  2.8888E+01  4.4150E+00
   3.3274E+03  1.1565E+00  2.8624E+01  7.8470E+00
   3.1164E+03  1.1566E+00  2.8905E+01  4.8482E+00
   2.9081E+03  1.1311E+00  2.7883E+01  1.1688E-01
   2.7650E+03  1.1295E+00  2.8236E+01  7.2021E-02
   3.0808E+03  1.1430E+00  2.8287E+01  7.6139E-01
   2.9086E+03  1.1424E+00  2.8609E+01  4.6975E-01
   3.1414E+03  1.1476E+00  2.8431E+01  1.5010E+00
   2.9575E+03  1.1475E+00  2.8738E+01  9.2645E-01
   3.1761E+03  1.1503E+00  2.8514E+01  2.2333E+00
   2.9851E+03  1.1505E+00  2.8811E+01  1.3788E+00
   3.2004E+03  1.1523E+00  2.8572E+01  2.9613E+00
   3.0041E+03  1.1527E+00  2.8862E+01  1.8286E+00
   3.2189E+03  1.1538E+00  2.8616E+01  3.6860E+00
   3.0185E+03  1.1545E+00  2.8901E+01  2.2764E+00
   3.2339E+03  1.1550E+00  2.8652E+01  4.4083E+00
   3.0301E+03  1.1559E+00  2.8932E+01  2.7228E+00
   3.2464E+03  1.1561E+00  2.8682E+01  5.1286E+00
   3.0397E+03  1.1572E+00  2.8957E+01  3.1680E+00
   3.2571E+03  1.1570E+00  2.8708E+01  5.8472E+00
   3.0479E+03  1.1582E+00  2.8980E+01  3.6122E+00
   3.2665E+03  1.1579E+00  2.8731E+01  6.5644E+00
   3.0550E+03  1.1592E+00  2.8999E+01  4.0556E+00
   3.2748E+03  1.1586E+00  2.8751E+01  7.2803E+00
   3.0613E+03  1.1600E+00  2.9016E+01  4.4982E+00
   3.2823E+03  1.1593E+00  2.8769E+01  7.9952E+00
   3.0669E+03  1.1608E+00  2.9031E+01  4.9402E+00
   2.8857E+03  1.1326E+00  2.8047E+01  1.1848E-01
   2.7402E+03  1.1318E+00  2.8391E+01  7.3012E-02
   3.0505E+03  1.1451E+00  2.8435E+01  7.7297E-01
   2.8750E+03  1.1456E+00  2.8744E+01  4.7693E-01
   3.1076E+03  1.1499E+00  2.8571E+01  1.5248E+00
   2.9200E+03  1.1510E+00  2.8864E+01  9.4122E-01
   3.1402E+03  1.1528E+00  2.8649E+01  2.2697E+00
   2.9452E+03  1.1543E+00  2.8931E+01  1.4014E+00
   3.1627E+03  1.1548E+00  2.8703E+01  3.0103E+00
   2.9624E+03  1.1567E+00  2.8977E+01  1.8590E+00
   3.1799E+03  1.1564E+00  2.8745E+01  3.7479E+00
   2.9754E+03  1.1586E+00  2.9012E+01  2.3149E+00
